"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACER3",131.645561344342,-0.00662658595551353,0.0486794903662898,0.320896944608091,0.908901231670007
"ACO1",19.090618140995,-0.0086900730094847,0.0493808716491089,0.0857721491630968,0.788582751758593
"ACO2",30.1228976465082,3.34418056638121,0.394119541789838,0.548790304282282,0.962843297551762
"ACOT11",20.8170243425485,-0.00434203366207782,0.0484837106443821,0.0968293211360752,0.803417650878036
"ACOT13",29.1540425014101,0.00191391686405908,0.0482803903475117,0.700372830082929,0.979381316738632
"ACOT7",28.2197558254952,0.00301353773480265,0.0483505996212666,0.554331093802025,0.962843297551762
"ACOT8",124.525376207055,-0.0089691209971124,0.0492878837294332,0.162825774290382,0.859063687639948
"ACOX1",51.0257939979333,-2.73621620666711,0.325653292517246,0.234278099000897,0.879993757807423
"ACOXL",95.7260937114551,-0.00922672145521906,0.0495367085816851,0.0672946144099009,0.747648617113827
"ACPL2",69.3471858974412,0.00460532508253921,0.048517151021111,0.377032089649645,0.919294883402921
"ACSBG1",19.9743920530217,0.884665680486983,0.961656133679264,0.00379506252316613,0.425812191264078
"ACSL3",82.8988155431111,-0.00363215727470532,0.0483194048078383,0.537119764729534,0.962843297551762
"ACSL4",214.705973465667,-0.0142116473599107,0.0507696516491781,0.105297367850018,0.81049499857382
"ACSM1",20.1962750005242,0.00218195389682587,0.0483456844804607,0.624996324178586,0.970824974698301
"ACSS1",30.9867697828767,-0.0052882160160495,0.0485762617344445,0.349959910442078,0.912666794466147
"ACSS2",30.2084802425783,-0.00822620132627905,0.0492889316982317,0.0890073668855314,0.789152577488312
"ACSS3",66.010047711819,-0.00403924775552727,0.0481873037523496,0.571270313849404,0.962843297551762
"ACTL8",8.51358275644686,7.61745189012634e-05,0.0482706213809418,0.987667256680913,0.997922155044913
"ACTN1",46.3378804743714,0.00360899325082256,0.0483759483813315,0.501595060817725,0.961058922938625
"ACTN2",38.0372167201144,0.00206825250123633,0.0483418479077226,0.642260113573898,0.971700027620836
"ACTN4",26.61276301462,-0.000657172588656324,0.0481979740341083,0.899180126314371,0.988007888429057
"ACTR10",45.5567455477795,0.000527065448793592,0.0482035174514771,0.921574591769413,0.990827784302068
"ACTR2",130.217383409443,0.00482272221854007,0.0485263544634965,0.378725430308838,0.919294883402921
"ACTR3",81.8049963800782,-0.00802957120958616,0.0489248866210687,0.253661628725118,0.890834055112359
"ACTR3B",73.5981139299689,0.0064879700384352,0.0486091504024045,0.353655378116167,0.912666794466147
"ACVR1",239.628042311128,-0.0113807227568381,0.049823816091772,0.146971967447527,0.851358717856594
"ACVR1C",122.43419159716,-0.00113225709345836,0.0479167977504675,0.876942103245131,0.988007888429057
"ACVR2A",197.290670581842,0.0030095819276189,0.0482144376569963,0.629190302528524,0.97095043726673
"ACYP2",243.09841907142,-0.0122121563742149,0.0499464343545304,0.170326431147971,0.859063687639948
"ADA",40.4965699562742,-0.00622744484116018,0.0486257344711672,0.343654481099368,0.909507701239352
"ADAL",52.636140000084,0.00437054500777044,0.048325500333817,0.503859885037444,0.961058922938625
"ADAM10",160.294996134266,0.00695213121363941,0.0478708334505872,0.525973382134317,0.962843297551762
"ADAM12",41.3030570659609,-0.00204831820190241,0.0482362063000214,0.702622800837548,0.979381316738632
"ADAM17",93.766622904448,-0.00154069298854673,0.0478812378406389,0.841146415124931,0.985858007379432
"ADAM18",29.8226271413445,-0.00186185294328442,0.0482773481238868,0.705563156064225,0.979381316738632
"ADAM22",385.585563965296,-0.00946837731366694,0.0481950115818153,0.611163964344219,0.969526558287552
"ADAM23",345.993889464262,-0.00162776352874195,0.0478476144263672,0.839375839274343,0.985858007379432
"ADAM28",27.5498678176943,0.0105505216556902,0.0498325658721047,0.426958068626057,0.94010645425582
"ADAM32",105.823139780302,-0.00514881939629721,0.0482337202361475,0.506672483928764,0.961058922938625
"ADAM3A",8.9548049600344,0.00406036790188818,0.0485615294971682,0.319925200212449,0.908901231670007
"ADAM5P",37.5988922063073,-0.00144842869763448,0.048311183766264,0.738840324034656,0.98199427166359
"ADAM9",148.883367643481,-0.00871095292487617,0.0490977042165288,0.224038501855833,0.879993757807423
"ADAMTS1",66.9807767119967,-0.00597884136916895,0.0487607017887858,0.241030669860921,0.88464325582166
"ADAMTS12",63.9066193891858,0.00504022614333925,0.0486227020652835,0.297235744688337,0.905210186397514
"ADAMTS16",446.939713177906,0.0132088917018881,0.0504509266351098,0.110181528530701,0.816533064721652
"ADAMTS17",77.7423810975346,0.00178593436657982,0.0482063806262425,0.748935884425359,0.98199427166359
"ADAMTS18",28.725070685233,0.00279513965489492,0.048324400120144,0.585663174621173,0.965767831915209
"ADAMTS19",260.273312583633,-0.00367002890585774,0.0473644836510728,0.735498162056319,0.981765661637704
"ADAMTS2",25.4423380476124,0.000280267141477332,0.0483068804980182,0.946989164819541,0.991261536251754
"ADAMTS20",48.6037070885381,-0.00364879363479477,0.0484613204772494,0.4225187212001,0.94010645425582
"ADAMTS3",53.1555691165589,0.00152043206757127,0.0482511868043533,0.763927621792499,0.98199427166359
"ADAMTS6",74.1688006982497,0.0011700570973532,0.0480907072653982,0.85363001144665,0.985858007379432
"ADAMTS9",28.1126511028748,0.00225985939692209,0.0483517822320418,0.610484741693813,0.969270320185922
"ADAMTSL1",52.0655191813739,-0.00196971047008386,0.0482836468092264,0.68888233988514,0.979381316738632
"ADAMTSL3",111.826839641103,-0.00245497869493991,0.0481296241308894,0.702401217706945,0.979381316738632
"ADARB1",122.086964824009,0.00190329493591313,0.0480206534064447,0.783988337607479,0.98297675357873
"ADARB2",65.67369830795,-0.000761646109270933,0.0480543890519885,0.902619246121841,0.98885741867214
"ADCK1",43.130552291648,0.00382902457472378,0.0484323427321716,0.450120716427768,0.95177155542207
"ADCY1",317.692175834815,-0.00321896198764797,0.0472671729240628,0.770369272925143,0.98199427166359
"ADCY10",53.4079526216011,-0.00455577935268124,0.0484542110974513,0.426100554561055,0.94010645425582
"ADCY2",204.673080331058,0.00840216510575303,0.0488450916810909,0.302044359869605,0.907282629979394
"ADCY3",70.8239897715667,-0.00396250149281422,0.0483065204175711,0.527327124772643,0.962843297551762
"ADCY5",30.0190668655635,0.00555820910126619,0.0486530364805302,0.297163704853987,0.905210186397514
"ADCY6",67.0519388591581,0.00545658563124205,0.0484544025674872,0.419078159028547,0.938318970250441
"ADCY8",80.8429012747236,-0.0070125345975715,0.0486974094023347,0.323213284915001,0.908901231670007
"ADCY9",233.646563691614,-0.00635964854520381,0.0484791700552166,0.403623037724896,0.932951557617242
"ADCYAP1R1",59.488704686108,0.00291913756668132,0.0483185418764495,0.581734479542863,0.964108531753277
"ADD1",61.3627732330658,-0.00540120216706907,0.0485753170662352,0.353776241176894,0.912666794466147
"ADD2",58.254962283528,0.00335556626723497,0.0481537085968002,0.626773817900195,0.970824974698301
"ADD3",135.598586693966,0.00447594394418812,0.0480939663517769,0.580736979854782,0.963718193946053
"ADH5",216.849355314889,0.00502331486777922,0.0485986102673027,0.327090371714239,0.908901231670007
"ADIPOR2",70.2308673439518,-0.00332231355140003,0.0482452777809396,0.590733679099274,0.965767831915209
"ADK",397.785204931579,0.00189813813192939,0.047739530859046,0.63292054600282,0.971364773139221
"ADNP",90.1387788134375,-0.000338717197678138,0.0479355531292096,0.0751814951530178,0.762818218781923
"ADNP2",27.2353563490509,-0.00313386065342149,0.0482575238966791,0.597817053049254,0.966100407882324
"ADORA3",24.8287873808186,0.00196408961689018,0.0483656747505359,0.63020297201034,0.97095043726673
"ADPGK",79.7262138155298,-0.00954872234666668,0.0494635700348018,0.133744371095764,0.837138771714183
"ADRA1A",1107.28513181255,-0.00466908745715446,0.0477142994587832,0.642587095642512,0.971700027620836
"ADRA1B",118.767864219097,-0.00309902204887716,0.0477284327448115,0.7325538357486,0.981083367506526
"ADRBK2",239.656387105795,0.00231374535634849,0.0478978032220872,0.769926993490108,0.98199427166359
"AEBP2",150.921854342725,-0.0242802881177158,0.0573906040784988,0.810584400362796,0.984994207831158
"AFAP1",25.7724879027058,-0.00870403493037302,0.0493616132140643,0.102941259311726,0.81049499857382
"AFAP1L1",12.7046452258631,-0.00600147281690647,0.048817204355262,0.185077027502523,0.868813575349771
"AFF1",94.7484170237964,0.00577060251795907,0.0484895619306073,0.404226093124091,0.932951557617242
"AFF2",72.2082497693693,-0.00687181804250897,0.0486284720075809,0.348534396302879,0.912666794466147
"AFF3",948.65731233902,-0.0101742005353327,0.0480662589637023,0.427945721280088,0.94010645425582
"AFF4",131.360761183686,-0.0131893782199643,0.0500728081256828,0.182945535764892,0.868414223205245
"AFG3L1",203.401752899278,-0.00416962470187556,0.0481835578357058,0.564867844534279,0.962843297551762
"AFG3L2",33.8042945829673,-0.000776803764833788,0.0483082524130582,0.851005903471332,0.985858007379432
"AFTPH",154.756301624487,-0.00357103286894515,0.048173527053424,0.595572093363437,0.966100407882324
"AGAP1",701.913182760104,0.00182917798658975,0.0471704549842434,0.854785023832372,0.985858007379432
"AGAP3",47.3228370944903,-0.00325792831871516,0.0483814396654364,0.516614985874635,0.961871528452709
"AGBL1",125.37796743943,0.00121628462439103,0.0481543492874578,0.834287085349898,0.985858007379432
"AGBL3",240.033878842652,0.00285980027760042,0.0481096975304133,0.676407725315772,0.979381316738632
"AGBL4",2110.59434318825,-0.0132190501758327,0.0493736481782361,0.209772522788843,0.879644515016178
"AGFG1",170.348675809202,0.00320701229613862,0.0478360747089351,0.710930778052305,0.979381316738632
"AGGF1",162.491181422735,0.00148545190089023,0.0481654291628174,0.798536215253402,0.983726497130201
"AGK",281.819125668808,-0.00121840300038756,0.0480718547605492,0.846368972198049,0.985858007379432
"AGPAT3",78.05059472847,0.00452044974340532,0.0481876889088809,0.549188939884837,0.962843297551762
"AGPAT4",74.5337051658998,0.000887069411190551,0.0480671150670797,0.891500780096954,0.988007888429057
"AGPAT6",115.746994984825,0.0012994499433014,0.0482451241837167,0.79814040187004,0.983726497130201
"AGPAT9",13.0328592611521,-0.00587121982389386,0.0487709465158876,0.224833139653569,0.879993757807423
"AGPS",58.7429942622919,-0.0112046706387,0.0500410283510796,0.0663508740253833,0.747648617113827
"AGTPBP1",376.112650917915,0.00088159210494685,0.0475821748777831,0.925052932217096,0.990827784302068
"AHCTF1",50.8594732968219,0.00237908773740918,0.04801529616061,0.743055740618698,0.98199427166359
"AHCY",45.2072895691885,0.00498126193391752,0.0485773007875373,0.335341252197914,0.909507701239352
